Match,Score,Runs_scored,Balls_faced,Strike_rate,Fours,Sixes,Opposition,Ground,Date,Odi_number,Aggr,Avg,How_Dismissed
1,0,0,1,0,0,0,v Bangladesh,MA Aziz Stadium,23/12/2004,ODI # 2199,0,0,run out
2,12,12,11,109.09,2,0,v Bangladesh,Bangabandhu National Stadium,26/12/2004,ODI # 2201,12,6,c Habibul Bashar b Mashrafe Mortaza
3,7*,7,2,350,0,1,v Bangladesh,Bangabandhu National Stadium,27/12/2004,ODI # 2202,19,9.5,not out
4,3,3,7,42.85,0,0,v Pakistan,Nehru Stadium (Kochi),02-04-2005,ODI # 2235,22,7.33,c Naved-ul-Hasan b Arshad Khan
5,148,148,123,120.32,15,4,v Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,05-04-2005,ODI # 2236,170,42.5,c Shoaib Malik b Mohammad Hafeez
6,28,28,24,116.66,5,0,v Pakistan,Keenan Stadium,09-04-2005,ODI # 2237,198,39.6,c †Kamran Akmal b Naved-ul-Hasan
7,47,47,64,73.43,4,1,v Pakistan,Sardar Patel Stadium,12-04-2005,ODI # 2238,245,40.83,c †Kamran Akmal b Shoaib Malik
8,11,11,16,68.75,1,0,v Pakistan,Green Park,15/04/2005,ODI # 2239,256,36.57,c Younis Khan b Naved-ul-Hasan
9,24,24,38,63.15,2,0,v Pakistan,Arun Jaitley Stadium,17/04/2005,ODI # 2240,280,35,c Shahid Afridi b Arshad Khan
10,2,2,7,28.57,0,0,v Sri Lanka,Rangiri Dambulla International Stadium,30/07/2005,ODI # 2262,282,31.33,b L H D Dilhara
11,15*,15,11,136.36,1,1,v West Indies,Rangiri Dambulla International Stadium,31/07/2005,ODI # 2263,297,33,not out
12,20,20,27,74.07,1,0,v Sri Lanka,Rangiri Dambulla International Stadium,03-08-2005,ODI # 2265,317,31.7,c & b T M Dilshan
13,28*,28,13,215.38,1,2,v West Indies,R Premadasa Stadium,07-08-2005,ODI # 2267,345,34.5,not out
14,7,7,11,63.63,0,0,v Sri Lanka,R Premadasa Stadium,09-08-2005,ODI # 2268,352,32,lbw b U D U Chandana
15,2,2,5,40,0,0,v New Zealand,Queens Sports Club,26/08/2005,ODI # 2273,354,29.5,c †B B McCullum b A R Adams
16,56,56,46,121.73,2,4,v Zimbabwe,Harare Sports Club,29/08/2005,ODI # 2274,410,31.54,c N B Mahwire b A J Ireland
17,37*,37,27,137.03,3,2,v New Zealand,Harare Sports Club,02-09-2005,ODI # 2278,447,34.38,not out
18,67*,67,63,106.34,1,3,v Zimbabwe,Harare Sports Club,04-09-2005,ODI # 2280,514,39.54,not out
19,11,11,16,68.75,1,0,v New Zealand,Harare Sports Club,06-09-2005,ODI # 2281,525,37.5,lbw b S B Styris
20,38,38,28,135.71,3,2,v Sri Lanka,Vidarbha Cricket Association Ground,25/10/2005,ODI # 2286,563,37.53,c D P M D Jayawardene b C R D Fernando
21,DNB,-,-,-,-,-,v Sri Lanka,Punjab Cricket Association IS Bindra Stadium,28/10/2005,ODI # 2287,563,37.53,did not bat
22,183*,183,145,126.2,15,10,v Sri Lanka,Sawai Mansingh Stadium,31/10/2005,ODI # 2290,746,49.73,not out
23,45*,45,43,104.65,1,2,v Sri Lanka,Nehru Stadium (Pune),03-11-2005,ODI # 2291,791,52.73,not out
24,0,0,1,0,0,0,v Sri Lanka,Sardar Patel Stadium,06-11-2005,ODI # 2294,791,49.44,lbw b D N T Zoysa
25,DNB,-,-,-,-,-,v Sri Lanka,Madhavrao Scindia Cricket Ground,09-11-2005,ODI # 2295,791,49.44,did not bat
26,80,80,73,109.58,9,3,v Sri Lanka,Reliance Stadium,12-11-2005,ODI # 2296,871,51.24,c sub b U D U Chandana
27,17,17,28,60.71,1,0,v South Africa,Rajiv Gandhi International Stadium,16/11/2005,ODI # 2297,888,49.33,run out
28,DNB,-,-,-,-,-,v South Africa,M Chinnaswamy Stadium,19/11/2005,ODI # 2298,888,49.33,did not bat
29,14,14,26,53.84,0,0,v South Africa,Eden Gardens,25/11/2005,ODI # 2299,902,47.47,c J Botha b A J Hall
30,12,12,26,46.15,1,0,v South Africa,Wankhede Stadium,28/11/2005,ODI # 2300,914,45.7,c †M V Boucher b C K Langeveldt
31,68,68,53,128.3,11,1,v Pakistan,Arbab Niaz Stadium,06-02-2006,ODI # 2324,982,46.76,c Shoaib Malik b Mohammad Asif
32,DNB,-,-,-,-,-,v Pakistan,Rawalpindi Cricket Stadium,11-02-2006,ODI # 2327,982,46.76,did not bat
33,72*,72,46,156.52,13,0,v Pakistan,Gaddafi Stadium,13/02/2006,ODI # 2329,1054,50.19,not out
34,2*,2,5,40,0,0,v Pakistan,Multan Cricket Stadium,16/02/2006,ODI # 2331,1056,50.29,not out
35,77*,77,56,137.5,6,4,v Pakistan,National Stadium (Karachi),19/02/2006,ODI # 2333,1133,53.95,not out
36,20,20,28,71.42,2,0,v England,Arun Jaitley Stadium,28/03/2006,ODI # 2357,1153,52.41,c P D Collingwood b L E Plunkett
37,38,38,55,69.09,2,0,v England,Nahar Singh Stadium,31/03/2006,ODI # 2358,1191,51.78,b A Flintoff
38,13*,13,6,216.66,1,1,v England,Nehru Stadium (Margao),03-04-2006,ODI # 2359,1204,52.35,not out
39,10*,10,13,76.92,1,0,v England,Nehru Stadium (Kochi),06-04-2006,ODI # 2360,1214,52.78,not out
40,96,96,106,90.56,10,3,v England,Keenan Stadium,12-04-2006,ODI # 2361,1310,54.58,c V S Solanki b S I Mahmood
41,3,3,10,30,0,0,v Pakistan,Sheikh Zayed Stadium,18/04/2006,ODI # 2363,1313,52.52,b Shoaib Malik
42,59,59,72,81.94,5,0,v Pakistan,Sheikh Zayed Stadium,19/04/2006,ODI # 2364,1372,52.77,b Naved-ul-Hasan
43,18,18,11,163.63,2,1,v West Indies,Sabina Park,18/05/2006,ODI # 2377,1390,51.48,c R S Morton b D J J Bravo
44,2,2,7,28.57,0,0,v West Indies,Sabina Park,20/05/2006,ODI # 2379,1392,49.71,b J E Taylor
45,15,15,26,57.69,1,0,v West Indies,Warner Park,23/05/2006,ODI # 2380,1407,48.52,run out
46,46*,46,58,79.31,6,0,v West Indies,Queen's Park Oval,26/05/2006,ODI # 2381,1453,50.1,not out
